started_at,finished_at,room,user_id
2023-04-10 14:21:46,2023-04-10 14:21:50,kitchen,97
2023-04-10 14:21:55,2023-04-10 14:22:16,cafeteria,97
2023-04-10 14:22:23,2023-04-10 14:23:25,kitchen,97
2023-04-10 14:23:29,2023-04-10 14:23:44,cleaning,97
2023-04-10 14:23:42,2023-04-10 14:24:05,nurse station,97
2023-04-10 14:24:11,2023-04-10 14:24:31,hallway,97
2023-04-10 14:24:31,2023-04-10 14:26:38,501,97
2023-04-10 14:26:43,2023-04-10 14:27:00,hallway,97
2023-04-10 14:27:04,2023-04-10 14:27:12,cafeteria,97
2023-04-10 14:27:15,2023-04-10 14:27:27,cleaning,97
2023-04-10 14:27:33,2023-04-10 14:27:49,nurse station,97
2023-04-10 14:27:54,2023-04-10 14:28:01,hallway,97
2023-04-10 14:28:09,2023-04-10 14:29:28,506,97
2023-04-10 14:29:33,2023-04-10 14:29:47,cleaning,97
2023-04-10 14:29:52,2023-04-10 14:30:00,nurse station,97
2023-04-10 14:30:22,2023-04-10 14:30:24,520,97
2023-04-10 14:30:22,2023-04-10 14:30:24,510,97
2023-04-10 14:30:27,2023-04-10 14:32:22,520,97
2023-04-10 14:32:25,2023-04-10 14:32:29,hallway,97
2023-04-10 14:32:34,2023-04-10 14:32:46,cafeteria,97
2023-04-10 14:32:52,2023-04-10 14:33:39,cleaning,97
2023-04-10 14:33:43,2023-04-10 14:33:58,nurse station,97
2023-04-10 14:34:01,2023-04-10 14:34:35,cafeteria,97
2023-04-10 14:34:34,2023-04-10 14:38:07,kitchen,97
2023-04-10 14:38:08,2023-04-10 14:38:33,cafeteria,97
2023-04-10 14:38:37,2023-04-10 14:41:04,kitchen,97
2023-04-10 14:41:10,2023-04-10 14:42:49,nurse station,97
2023-04-10 14:42:00,2023-04-10 14:44:00,511,97
2023-04-10 14:42:53,2023-04-10 14:42:54,hallway,97
2023-04-10 14:44:42,2023-04-10 14:44:57,hallway,97
2023-04-10 14:44:56,2023-04-10 14:46:16,nurse station,97
2023-04-10 14:46:21,2023-04-10 14:47:36,kitchen,97
2023-04-10 14:47:42,2023-04-10 14:49:00,nurse station,97
2023-04-10 14:49:00,2023-04-10 14:49:09,cafeteria,97
2023-04-10 14:49:10,2023-04-10 14:51:01,nurse station,97
